Filename,Step,Element,X,Y,Z,Fx,Fy,Fz,SCF_Energy,ImaginaryFrequency,ErrorTermination
"1,1,2,2-Tetrachloroethane_rdkit_conf_1.log",5.0,Cl,1.489917,1.621225,-0.117794,7.265e-06,3.013e-06,5.914e-06,-1894.27437669,0.0,False
,5.0,C,0.74863,-0.026527,-0.22501,1.2404e-05,-5.232e-06,-1.7899e-05,,,
,5.0,Cl,1.668336,-1.19427,0.807756,7.419e-06,1.894e-06,6.325e-06,,,
,5.0,C,-0.74863,0.026527,0.22501,-1.2404e-05,5.232e-06,1.7899e-05,,,
,5.0,Cl,-1.489917,-1.621225,0.117794,-7.265e-06,-3.013e-06,-5.914e-06,,,
,5.0,Cl,-1.668336,1.19427,-0.807756,-7.419e-06,-1.894e-06,-6.325e-06,,,
,5.0,H,0.825353,-0.363566,-1.26506,-9.342e-06,2.73e-06,9.935e-06,,,
,5.0,H,-0.825353,0.363566,1.26506,9.342e-06,-2.73e-06,-9.935e-06,,,
,,,,,,,,,,,
"1,1,2,2-Tetrachloroethane_rdkit_conf_2.log",6.0,Cl,-0.732059,1.506768,0.944603,1.4596e-05,-2.3634e-05,-2.3991e-05,-1894.27382749,0.0,False
,6.0,C,-0.638129,0.450463,-0.515714,4.523e-06,3.442e-06,8.733e-06,,,
,6.0,Cl,-2.111278,-0.589109,-0.680597,-4.904e-06,-7.194e-06,6.966e-06,,,
,6.0,C,0.638129,-0.450464,-0.515714,-4.987e-06,-3.037e-06,8.633e-06,,,
,6.0,Cl,2.111278,0.589109,-0.680598,4.619e-06,7.648e-06,6.77e-06,,,
,6.0,Cl,0.732059,-1.506767,0.944603,-1.3302e-05,2.2195e-05,-2.5906e-05,,,
,6.0,H,-0.603725,1.105937,-1.393816,5.898e-06,8.087e-06,9.288e-06,,,
,6.0,H,0.603725,-1.105938,-1.393816,-6.443e-06,-7.508e-06,9.507e-06,,,
,,,,,,,,,,,
"1,2-Dichloroethane_rdkit_conf_1.log",5.0,Cl,-1.888442,-1.101484,-0.193293,7.926e-06,-9.619e-06,-8.55e-07,-986.30235713,0.0,False
,5.0,C,-0.72187,0.271413,0.008231,-2.534e-06,1.0829e-05,1.175e-06,,,
,5.0,C,0.72187,-0.271413,-0.008231,2.534e-06,-1.0829e-05,-1.175e-06,,,
,5.0,Cl,1.888442,1.101484,0.193293,-7.926e-06,9.619e-06,8.55e-07,,,
,5.0,H,-0.945172,0.761694,0.956269,6.122e-06,2.357e-06,1.8138e-05,,,
,5.0,H,-0.886507,0.971337,-0.811534,7.333e-06,6.485e-06,-1.6613e-05,,,
